site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,"5490 E FRANCIS ST, ONTARIO CA 91761",,,,,False,,
,,"3200 E INLAND EMPIRE BL, SUITE 1-190, ONTARIO CA 91764",,,,,False,,
,,"5056 E FOURTH ST, ONTARIO CA 91764",,,,,False,,
,,"5056 E FOURTH ST, Ontario CA 91764",,,,,False,,
,,"800 N ARCHIBALD AV, BLDG 1, ONTARIO CA 91764",,,,,False,,
,,"1969 S CAMPUS AV, ONTARIO CA 91761",,,,,False,,
,,"3200 E INLAND EMPIRE BL, SUITE 1-190, ONTARIO CA 91764",,,,,False,,
,,"3293 S CLOVER PL, ONTARIO CA 91761",,,,,False,,
,,"604 W BONNIE BRAE CT, ONTARIO CA 91762",,,,,False,,
,,"991 S BENSON AV, ONTARIO CA 91762",,,,,False,,
,,"250 N TURNER AV, BLDG 1, ONTARIO CA 91743",,,,,False,,
,,"960 N HAVEN AV, SUITE 100, ONTARIO CA 91764",,,,,False,,
,,"177 W GEYER CT, ONTARIO CA 91762",,,,,False,,
,,"3211 S CENTURION PL, ONTARIO CA 91761",,,,,False,,
,,"250 N TURNER AV, BLDG 1, ONTARIO CA 91743",,,,,False,,
,,"930 N HAVEN AV, ONTARIO CA 91764",,,,,False,,
,,"216 N EUCLID AV, ONTARIO CA 91761",,,,,False,,
,,"1363 E FOURTH ST, SUITE 5-B, ONTARIO CA 91764",,,,,False,,
,,"4150 E CONCOURS ST, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"930 N HAVEN AV, ONTARIO CA 91764",,,,,False,,
,,"110 W HOLT BL, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,nan,,,,,False,,
,,"4150 E CONCOURS ST, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"516 S GARFIELD AV, ONTARIO CA 91761",,,,,False,,
,,"2433 S GROVE AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"2850 E INLAND EMPIRE BL, SUITE 1-C, ONTARIO CA 91764",,,,,False,,
,,"5655 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"2433 S GROVE AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"3937 E KLAMATH RIVER DR, ONTARIO CA 91761",,,,,False,,
,,"13107 S CAMPUS AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"315 N VINE AV, ONTARIO CA 91762",,,,,False,,
,,"2509 S EUCLID AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"13107 S CAMPUS AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"791 N MILLIKEN AV, ONTARIO CA 91764",,,,,False,,
,,"2850 E INLAND EMPIRE BL, SUITE 1-C, ONTARIO CA 91764",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"2160 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"1341 E 4TH ST, Ontario CA United States",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"2509 S EUCLID AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"1901 E CHERRY HILL CT, ONTARIO CA 91761",,,,,False,,
,,"1901 E CHERRY HILL CT, ONTARIO CA 91761",,,,,False,,
,,"5742 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"3937 E KLAMATH RIVER DR, ONTARIO CA 91761",,,,,False,,
,,"0 E ONTARIO MILLS PW, ONTARIO CA 91764",,,,,False,,
,,"421 E F ST, SUITE B, ONTARIO CA 91764",,,,,False,,
,,"1425 S TOYOTA WY, ONTARIO CA 91761",,,,,False,,
,,"2150 S ARCHIBALD AV, ONTARIO CA 91761",,,,,False,,
,,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"517 S BENSON AV, ONTARIO CA 91762",,,,,False,,
,,"119 W ARMSLEY SQ, ONTARIO CA 91762",,,,,False,,
,,"520 S OAKS AV, ONTARIO CA 91762",,,,,False,,
,,"629 S BENSON AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"519 S BENSON AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"517 S BENSON AV, ONTARIO CA 91762",,,,,False,,
,,"4234 E ONTARIO RANCH RD, ONTARIO CA 91761",,,,,False,,
,,"315 N VINE AV, ONTARIO CA 91762",,,,,False,,
,,"859 E GRANADA CT, ONTARIO CA 91764",,,,,False,,
,,"4234 E ONTARIO RANCH RD, ONTARIO CA 91761",,,,,False,,
,,"1003 W GRANADA CT, ONTARIO CA 91762",,,,,False,,
,,"1363 E FOURTH ST, SUITE 5-B, ONTARIO CA 91764",,,,,False,,
,,"337 N SACRAMENTO AV, ONTARIO CA 91764",,,,,False,,
,,"520 S OAKS AV, ONTARIO CA 91762",,,,,False,,
,,"629 S BENSON AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"519 S BENSON AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"517 S BENSON AV, ONTARIO CA 91762",,,,,False,,
,,nan,,,,,False,,
,,"4451 E ONTARIO MILLS PW, SUITE 3-C, ONTARIO CA 91764",,,,,False,,
,,"1848 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"0 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"4451 E ONTARIO MILLS PW, SUITE 3-C, ONTARIO CA 91764",,,,,False,,
,,"3942 S ALEXANDER AV, Ontario CA 91761",,,,,False,,
,,"1848 S EUCLID AV, ONTARIO CA 91762",,,,,False,,
,,"2200 S MOUNTAIN AV, SUITE A, ONTARIO CA 91762",,,,,False,,
,,"315 N VINE AV, ONTARIO CA 91762",,,,,False,,
,,"3546 E CONCOURS ST, ONTARIO CA 91764",,,,,False,,
,,"2060 S WINEVILLE AV, SUITE 1-A, ONTARIO CA 91761",,,,,False,,
,,"3546 E CONCOURS ST, ONTARIO CA 91764",,,,,False,,
